"accession","target_name","tlen","query_name","query_accession","qlen","E.value","score...8","bias...9","X.","of","c.Evalue","i.Evalue","score...14","bias...15","hmm_from","hmm_to","ali_from","ali_to","env_from","env_to","acc","description","query_name_clean","data_source","contig_length","dtr_length","genes_viral","genes_plasmid","genes_microbial","genes_unknown","biome1","biome2","biome3","gca_name","origin"
"PF09113","N-glycanase_C",137,"DTR_549652_3","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_549652","CIBIO",17208,55,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_549652_3","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_549652","CIBIO",17208,55,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_550119_15","-",800,0.048,13.6,0.4,1,2,0.0035,12,5.8,0.1,26,46,197,217,184,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_550119","CIBIO",17210,58,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_550119_15","-",800,0.048,13.6,0.4,2,2,0.0067,23,4.9,0,10,42,267,296,258,331,0.76,"Peptide-N-glycosidase F, C terminal","DTR_550119","CIBIO",17210,58,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_505834_15","-",829,0.04,13.8,0.7,1,2,0.0028,7.2,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_505834","CIBIO",17175,23,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_505834_15","-",829,0.04,13.8,0.7,2,2,0.012,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_505834","CIBIO",17175,23,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_856558_3","-",832,0.045,13.7,0.7,1,2,0.0015,7.7,6.4,0.1,26,46,197,217,187,226,0.84,"Peptide-N-glycosidase F, C terminal","DTR_856558","HGM",17204,43,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_856558_3","-",832,0.045,13.7,0.7,2,2,0.0059,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_856558","HGM",17204,43,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_487915_3","-",827,0.042,13.8,0.7,2,2,0.0088,30,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_487915","CIBIO",17287,141,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_777926_15","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_777926","HGM",17189,37,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_796955_15","-",829,0.023,14.6,0.4,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_796955","HGM",17248,99,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_775510_3","-",829,0.041,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_775510","HGM",17179,45,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_775510_3","-",829,0.041,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_775510","HGM",17179,45,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_768384_15","-",829,0.054,13.4,0.6,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_768384","HGM",17222,61,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_528305_15","-",829,0.046,13.6,0.5,1,2,0.0031,13,5.7,0.1,26,46,197,217,188,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_528305","CIBIO",17271,119,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_774713_15","-",829,0.045,13.7,0.8,1,2,0.0015,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_774713","HGM",17201,49,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_774713_15","-",829,0.045,13.7,0.8,2,2,0.0061,32,4.5,0.1,10,41,267,295,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_774713","HGM",17201,49,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_716447_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_716447","MGnify",17216,55,4,0,0,13,NA,NA,NA,"GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_826040_15","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_826040","HGM",17245,93,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_826040_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_826040","HGM",17245,93,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_842908_3","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_842908","HGM",17292,128,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_772378_3","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_772378","HGM",17220,68,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_772378_3","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_772378","HGM",17220,68,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_851568_3","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_851568","HGM",17216,61,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_834473_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_834473","HGM",17245,93,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_761161_15","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_761161","HGM",17207,55,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_761161_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_761161","HGM",17207,55,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_186455_3","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_186455","IMG/M",17201,49,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_797722_3","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_797722","HGM",17207,55,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_785130_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_785130","HGM",17193,45,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_842970_15","-",829,0.054,13.4,0.6,1,2,0.0026,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_842970","HGM",17288,136,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_842970_15","-",829,0.054,13.4,0.6,2,2,0.014,41,4.1,0,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_842970","HGM",17288,136,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_814050_3","-",794,0.048,13.6,0.7,1,2,0.0017,7.3,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_814050","HGM",17237,85,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_814050_3","-",794,0.048,13.6,0.7,2,2,0.007,29,4.6,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_814050","HGM",17237,85,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_837267_15","-",829,0.044,13.7,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_837267","HGM",17268,89,3,0,0,14,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_837267_15","-",829,0.044,13.7,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_837267","HGM",17268,89,3,0,0,14,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_834473_15","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_834473","HGM",17245,93,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_835250_3","-",829,0.041,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_835250","HGM",17253,92,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_831911_15","-",829,0.041,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_831911","HGM",17207,55,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_757785_3","-",829,0.071,13,0.2,1,2,0.0021,8.9,6.2,0.1,27,46,198,217,188,226,0.84,"Peptide-N-glycosidase F, C terminal","DTR_757785","HGM",17207,61,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_757785_3","-",829,0.071,13,0.2,2,2,0.017,72,3.3,0,10,35,267,292,262,326,0.8,"Peptide-N-glycosidase F, C terminal","DTR_757785","HGM",17207,61,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_540212_3","-",829,0.043,13.7,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_540212","CIBIO",17235,82,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_540212_3","-",829,0.043,13.7,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_540212","CIBIO",17235,82,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_749515_15","-",829,0.036,14,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_749515","HGM",17175,23,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_749515_15","-",829,0.036,14,0.7,2,2,0.0076,26,4.7,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_749515","HGM",17175,23,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_818975_15","-",829,0.048,13.6,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_818975","HGM",17255,91,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_818975_15","-",829,0.048,13.6,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_818975","HGM",17255,91,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_604604_15","-",829,0.041,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_604604","MGnify",17191,30,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_559813_15","-",829,0.05,13.5,0.6,1,2,0.0026,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_559813","MGnify",17202,53,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_559813_15","-",829,0.05,13.5,0.6,2,2,0.012,34,4.4,0,10,40,267,294,256,330,0.77,"Peptide-N-glycosidase F, C terminal","DTR_559813","MGnify",17202,53,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_842908_3","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_842908","HGM",17292,128,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_829513_15","-",829,0.044,13.7,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_829513","HGM",17268,89,3,0,0,14,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_517765_15","-",829,0.044,13.7,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_517765","CIBIO",17239,89,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_769635_3","-",827,0.042,13.8,0.7,2,2,0.01,30,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_769635","HGM",17173,27,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_853908_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_853908","HGM",17221,69,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_753283_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_753283","HGM",17205,53,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_528305_15","-",829,0.046,13.6,0.5,2,2,0.0053,22,5,0,10,42,267,296,256,330,0.75,"Peptide-N-glycosidase F, C terminal","DTR_528305","CIBIO",17271,119,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_773857_15","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_773857","HGM",17237,85,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_778119_15","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_778119","HGM",17202,50,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_800219_15","-",830,0.026,14.5,0.4,2,2,0.0074,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_800219","HGM",17255,98,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_554069_15","-",829,0.041,13.8,0.7,2,2,0.01,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_554069","CIBIO",17186,32,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_791778_3","-",829,0.039,13.9,0.6,1,2,0.0019,7.7,6.4,0.1,26,46,197,217,187,226,0.84,"Peptide-N-glycosidase F, C terminal","DTR_791778","HGM",17232,80,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_791778_3","-",829,0.039,13.9,0.6,2,2,0.0071,29,4.6,0,10,41,267,295,256,331,0.73,"Peptide-N-glycosidase F, C terminal","DTR_791778","HGM",17232,80,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_791111_3","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_791111","HGM",17216,64,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_546157_3","-",827,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_546157","CIBIO",17217,71,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_812149_3","-",829,0.039,13.9,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_812149","HGM",17240,88,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_812149_3","-",829,0.039,13.9,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_812149","HGM",17240,88,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_532795_15","-",829,0.043,13.7,0.5,2,2,0.0061,21,5,0,10,42,267,296,256,330,0.74,"Peptide-N-glycosidase F, C terminal","DTR_532795","CIBIO",17319,100,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_815021_15","-",829,0.044,13.7,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_815021","HGM",17174,22,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_849469_3","-",829,0.041,13.8,0.7,2,2,0.01,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_849469","HGM",17265,116,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_791076_3","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_791076","HGM",17216,64,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_791076_3","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_791076","HGM",17216,64,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_455828_3","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_455828","CIBIO",17207,55,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_595517_3","-",829,0.04,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_595517","MGnify",17202,50,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_536071_3","-",829,0.042,13.8,0.7,1,2,0.0026,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_536071","CIBIO",17221,60,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_536071_3","-",829,0.042,13.8,0.7,2,2,0.01,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_536071","CIBIO",17221,60,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_835250_3","-",829,0.041,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_835250","HGM",17253,92,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_617333_3","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_617333","MGnify",17173,21,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_811090_15","-",829,0.042,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_811090","HGM",17174,22,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_471347_3","-",829,0.042,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_471347","CIBIO",17172,20,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_821323_15","-",829,0.048,13.6,0.5,2,2,0.0074,22,5,0,10,42,267,296,256,330,0.75,"Peptide-N-glycosidase F, C terminal","DTR_821323","HGM",17220,68,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_856245_15","-",829,0.042,13.8,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_856245","HGM",17221,69,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_856245_15","-",829,0.042,13.8,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_856245","HGM",17221,69,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_742310_3","-",829,0.042,13.8,0.7,1,2,0.0018,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_742310","HGM",17238,86,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_742310_3","-",829,0.042,13.8,0.7,2,2,0.0073,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_742310","HGM",17238,86,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_839786_15","-",829,0.044,13.7,0.7,1,2,0.0022,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_839786","HGM",17220,68,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_839786_15","-",829,0.044,13.7,0.7,2,2,0.0088,31,4.5,0.1,10,42,267,296,256,331,0.75,"Peptide-N-glycosidase F, C terminal","DTR_839786","HGM",17220,68,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
"PF09113","N-glycanase_C",137,"DTR_825063_15","-",829,0.04,13.9,0.7,1,2,0.0026,7.6,6.5,0.1,26,46,197,217,187,227,0.84,"Peptide-N-glycosidase F, C terminal","DTR_825063","HGM",17208,56,4,0,0,13,"Host_Associated","Human","Gut","GCA_003502105.1","non_viral_origin"
