"X","accession","target_name","query_name_clean","description","data_source","contig_length","dtr_length","genes_viral","genes_plasmid","genes_microbial","genes_unknown","biome1","biome2","biome3","gca_name","T_number","origin_genes","description_clean","classification","origin","functional_category"
227,"PF09113","N-glycanase_C","DTR_854627","Peptide-N-glycosidase F, C terminal","HGM",17221,69,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
228,"PF18099","CBM_35_2","DTR_259628","Carbohydrate binding module (family 35)","IMG/M",7900,127,1,0,0,10,"Aquatic","Non-marine saline","Saline","NULL",3,"viral","carbohydrate binding module \(family 35\)","Unknown","Unknown","Binding Protein"
229,"PF18099","CBM_35_2","DTR_259628","Carbohydrate binding module (family 35)","IMG/M",7900,127,1,0,0,10,"Aquatic","Non-marine saline","Saline","NULL",3,"viral","carbohydrate binding module \(family 35\)","Unknown","Unknown","Binding Protein"
230,"PF18099","CBM_35_2","DTR_259628","Carbohydrate binding module (family 35)","IMG/M",7900,127,1,0,0,10,"Aquatic","Non-marine saline","Saline","NULL",3,"viral","carbohydrate binding module \(family 35\)","Unknown","Unknown","Binding Protein"
231,"PF17991","Thioredoxin_10","DTR_508349","Thioredoxin like C-terminal domain","CIBIO",16671,55,7,0,0,18,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
232,"PF17991","Thioredoxin_10","DTR_508349","Thioredoxin like C-terminal domain","CIBIO",16671,55,7,0,0,18,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
233,"PF20510","HgmA_N","DTR_493079","Homogentisate 1,2-dioxygenase N-terminal","CIBIO",7895,55,2,0,0,12,"Host-Associated","Human","Gut","NULL",3,"viral","homogentisate 1,2 dioxygenase n terminal","Unknown","Prokaryotic","Enzyme"
234,"PF20510","HgmA_N","DTR_493079","Homogentisate 1,2-dioxygenase N-terminal","CIBIO",7895,55,2,0,0,12,"Host-Associated","Human","Gut","NULL",3,"viral","homogentisate 1,2 dioxygenase n terminal","Unknown","Prokaryotic","Enzyme"
235,"PF09113","N-glycanase_C","DTR_390389","Peptide-N-glycosidase F, C terminal","CIBIO",17258,55,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
236,"PF09113","N-glycanase_C","DTR_390389","Peptide-N-glycosidase F, C terminal","CIBIO",17258,55,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
237,"PF09113","N-glycanase_C","DTR_818975","Peptide-N-glycosidase F, C terminal","HGM",17255,91,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
238,"PF09113","N-glycanase_C","DTR_818975","Peptide-N-glycosidase F, C terminal","HGM",17255,91,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
239,"PF09113","N-glycanase_C","DTR_604604","Peptide-N-glycosidase F, C terminal","MGnify",17191,30,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
240,"PF09113","N-glycanase_C","DTR_604604","Peptide-N-glycosidase F, C terminal","MGnify",17191,30,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
241,"PF05899","Cupin_3","DTR_304195","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
242,"PF05899","Cupin_3","DTR_304195","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
243,"PF05899","Cupin_3","DTR_304195","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
244,"PF09113","N-glycanase_C","DTR_517765","Peptide-N-glycosidase F, C terminal","CIBIO",17239,89,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
245,"PF09113","N-glycanase_C","DTR_517765","Peptide-N-glycosidase F, C terminal","CIBIO",17239,89,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
246,"PF18425","CspB_prodomain","DTR_770037","Csp protease B prodomain","HGM",13272,76,6,1,0,22,"Host-Associated","Human","Gut","NULL",3,"viral","csp protease b prodomain","Unknown","Prokaryotic","Other"
247,"PF17991","Thioredoxin_10","DTR_493537","Thioredoxin like C-terminal domain","CIBIO",15762,55,7,0,0,19,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
248,"PF17991","Thioredoxin_10","DTR_493537","Thioredoxin like C-terminal domain","CIBIO",15762,55,7,0,0,19,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
249,"PF09113","N-glycanase_C","DTR_773857","Peptide-N-glycosidase F, C terminal","HGM",17237,85,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
250,"PF09113","N-glycanase_C","DTR_773857","Peptide-N-glycosidase F, C terminal","HGM",17237,85,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
251,"PF13157","Enas","DTR_326929","Endospore appendages","IMG/M",4323,99,1,0,0,9,"Aquatic","Freshwater","Lentic","NULL",1,"viral","endospore appendages","Unknown","Prokaryotic","Structural Protein"
252,"PF13157","Enas","DTR_326929","Endospore appendages","IMG/M",4323,99,1,0,0,9,"Aquatic","Freshwater","Lentic","NULL",1,"viral","endospore appendages","Unknown","Prokaryotic","Structural Protein"
253,"PF03391","Nepo_coat","DTR_024606","Nepovirus coat protein, central domain","IMG/M",13367,92,2,0,0,20,"Terrestrial","Soil","Loam","NULL",3,"viral","nepovirus coat protein, central domain","Viral","Viral","Capsid Protein"
254,"PF05899","Cupin_3","DTR_304255","EutQ-like cupin domain","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
255,"PF05899","Cupin_3","DTR_304255","EutQ-like cupin domain","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
256,"PF05899","Cupin_3","DTR_304255","EutQ-like cupin domain","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
257,"PF18666","CBM64","DTR_816106","Carbohydrate-binding module 64","HGM",9598,45,2,0,0,7,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
258,"PF18666","CBM64","DTR_816106","Carbohydrate-binding module 64","HGM",9598,45,2,0,0,7,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
259,"PF18666","CBM64","DTR_816106","Carbohydrate-binding module 64","HGM",9598,45,2,0,0,7,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
260,"PF09113","N-glycanase_C","DTR_815021","Peptide-N-glycosidase F, C terminal","HGM",17174,22,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
261,"PF09113","N-glycanase_C","DTR_815021","Peptide-N-glycosidase F, C terminal","HGM",17174,22,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
262,"PF05899","Cupin_3","DTR_308681","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
263,"PF05899","Cupin_3","DTR_308681","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
264,"PF05899","Cupin_3","DTR_308681","EutQ-like cupin domain","IMG/M",15123,127,6,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
265,"PF17991","Thioredoxin_10","DTR_686906","Thioredoxin like C-terminal domain","MGnify",17001,77,7,0,0,21,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
266,"PF17991","Thioredoxin_10","DTR_686906","Thioredoxin like C-terminal domain","MGnify",17001,77,7,0,0,21,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
267,"PF05899","Cupin_3","DTR_684083","EutQ-like cupin domain","MGnify",16088,77,6,1,0,16,"Host-Associated","Human","Gut","GCA_002745635.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
268,"PF05899","Cupin_3","DTR_684083","EutQ-like cupin domain","MGnify",16088,77,6,1,0,16,"Host-Associated","Human","Gut","GCA_002745635.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
269,"PF09113","N-glycanase_C","DTR_811090","Peptide-N-glycosidase F, C terminal","HGM",17174,22,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
270,"PF09113","N-glycanase_C","DTR_811090","Peptide-N-glycosidase F, C terminal","HGM",17174,22,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
271,"PF18628","P2_N","DTR_051147","Viral coat protein P2 N-terminal domain","IMG/M",11384,100,1,0,0,24,"Aquatic","Marine","Coastal","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
272,"PF18628","P2_N","DTR_051147","Viral coat protein P2 N-terminal domain","IMG/M",11384,100,1,0,0,24,"Aquatic","Marine","Coastal","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
273,"PF14717","DUF4465","DTR_269216","Domain of unknown function (DUF4465)","IMG/M",11451,127,3,0,0,21,"Aquatic","Marine","Oceanic","NULL",3,"viral","domain of unknown function \(duf4465\)","Unknown","Unknown","Unknown"
274,"PF18573","BclA_C","DTR_700858","BclA C-terminal domain","MGnify",18292,53,12,0,0,13,NA,NA,NA,"NULL",4,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
275,"PF09113","N-glycanase_C","DTR_853317","Peptide-N-glycosidase F, C terminal","HGM",17194,46,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
276,"PF09113","N-glycanase_C","DTR_853317","Peptide-N-glycosidase F, C terminal","HGM",17194,46,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
277,"PF09113","N-glycanase_C","DTR_838573","Peptide-N-glycosidase F, C terminal","HGM",17231,45,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
278,"PF09113","N-glycanase_C","DTR_838573","Peptide-N-glycosidase F, C terminal","HGM",17231,45,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
279,"PF02956","TT_ORF1","DTR_294138","TT viral orf 1","IMG/M",13212,81,4,0,0,20,"Host-Associated","Plants","Rhizosphere","NULL",3,"viral","tt viral orf 1","Viral","Viral","Other"
280,"PF05899","Cupin_3","DTR_304161","EutQ-like cupin domain","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
281,"PF05899","Cupin_3","DTR_304161","EutQ-like cupin domain","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
282,"PF05899","Cupin_3","DTR_304161","EutQ-like cupin domain","IMG/M",15123,127,5,0,0,14,"Aquatic","Freshwater","River","GCA_002609965.1",4,"viral","eutq like cupin domain","Unknown","Varies (Prok/Euk)","Other"
283,"PF17991","Thioredoxin_10","DTR_188442","Thioredoxin like C-terminal domain","IMG/M",16597,272,7,0,0,18,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
284,"PF17991","Thioredoxin_10","DTR_188442","Thioredoxin like C-terminal domain","IMG/M",16597,272,7,0,0,18,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
285,"PF09092","Lyase_N","DTR_188442","Lyase, N terminal","IMG/M",16597,272,7,0,0,18,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","lyase, n terminal","Unknown","Varies (Prok/Euk)","Enzyme"
286,"PF09113","N-glycanase_C","DTR_662889","Peptide-N-glycosidase F, C terminal","MGnify",17181,29,4,0,0,13,"Host-Associated","Mammals","Mouse","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
287,"PF09113","N-glycanase_C","DTR_662889","Peptide-N-glycosidase F, C terminal","MGnify",17181,29,4,0,0,13,"Host-Associated","Mammals","Mouse","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
288,"PF02956","TT_ORF1","DTR_293449","TT viral orf 1","IMG/M",13212,81,4,0,0,20,"Host-Associated","Plants","Rhizoplane","NULL",3,"viral","tt viral orf 1","Viral","Viral","Other"
289,"PF03367","zf-ZPR1","DTR_573911","ZPR1 zinc-finger domain","MGnify",7323,55,1,0,0,11,"Host-Associated","Human","Gut","NULL",1,"viral","zpr1 zinc finger domain","Unknown","Eukaryotic","Binding Protein"
290,"PF03014","SP2","DTR_251018","Structural protein 2 nucleoplasmin-like domain","IMG/M",11254,127,0,0,1,14,"Aquatic","Marine","Coastal","NULL",3,"non_viral","structural protein 2 nucleoplasmin like domain","Unknown","Unknown","Structural Protein"
291,"PF09113","N-glycanase_C","DTR_554069","Peptide-N-glycosidase F, C terminal","CIBIO",17186,32,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
292,"PF09113","N-glycanase_C","DTR_554069","Peptide-N-glycosidase F, C terminal","CIBIO",17186,32,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
293,"PF14099","Polysacc_lyase","DTR_141859","Polysaccharide lyase","IMG/M",15351,123,7,0,0,15,"Aquatic","Marine","Coastal","NULL",4,"viral","polysaccharide lyase","Unknown","Varies (Prok/Euk)","Enzyme"
294,"PF14099","Polysacc_lyase","DTR_141859","Polysaccharide lyase","IMG/M",15351,123,7,0,0,15,"Aquatic","Marine","Coastal","NULL",4,"viral","polysaccharide lyase","Unknown","Varies (Prok/Euk)","Enzyme"
295,"PF14099","Polysacc_lyase","DTR_141859","Polysaccharide lyase","IMG/M",15351,123,7,0,0,15,"Aquatic","Marine","Coastal","NULL",4,"viral","polysaccharide lyase","Unknown","Varies (Prok/Euk)","Enzyme"
296,"PF18099","CBM_35_2","DTR_136038","Carbohydrate binding module (family 35)","IMG/M",8609,123,1,0,0,17,"Terrestrial","Soil",NA,"NULL",3,"viral","carbohydrate binding module \(family 35\)","Unknown","Unknown","Binding Protein"
297,"PF18628","P2_N","DTR_265524","Viral coat protein P2 N-terminal domain","IMG/M",10224,95,3,0,0,20,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
298,"PF18628","P2_N","DTR_265524","Viral coat protein P2 N-terminal domain","IMG/M",10224,95,3,0,0,20,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
299,"PF18628","P2_N","DTR_037208","Viral coat protein P2 N-terminal domain","IMG/M",10725,60,3,0,0,20,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
300,"PF18628","P2_N","DTR_037208","Viral coat protein P2 N-terminal domain","IMG/M",10725,60,3,0,0,20,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
301,"PF18666","CBM64","DTR_559959","Carbohydrate-binding module 64","MGnify",9897,127,2,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
302,"PF18666","CBM64","DTR_559959","Carbohydrate-binding module 64","MGnify",9897,127,2,0,0,8,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
303,"PF17991","Thioredoxin_10","DTR_847870","Thioredoxin like C-terminal domain","HGM",16555,119,7,0,0,18,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
304,"PF17991","Thioredoxin_10","DTR_847870","Thioredoxin like C-terminal domain","HGM",16555,119,7,0,0,18,"Host-Associated","Human","Gut","NULL",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
305,"PF09113","N-glycanase_C","DTR_550254","Peptide-N-glycosidase F, C terminal","CIBIO",17224,72,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
306,"PF09113","N-glycanase_C","DTR_550254","Peptide-N-glycosidase F, C terminal","CIBIO",17224,72,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
307,"PF09113","N-glycanase_C","DTR_791111","Peptide-N-glycosidase F, C terminal","HGM",17216,64,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
308,"PF09113","N-glycanase_C","DTR_791111","Peptide-N-glycosidase F, C terminal","HGM",17216,64,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
309,"PF00688","TGFb_propeptide","DTR_065955","TGF-beta propeptide","IMG/M",11715,123,3,0,0,22,"Aquatic","Marine","Oceanic","NULL",3,"viral","tgf beta propeptide","Unknown","Eukaryotic","Signaling Protein"
310,"PF02226","Pico_P1A","DTR_482361","Picornavirus coat protein (VP4)","CIBIO",8605,141,1,0,0,11,"Host-Associated","Human","Gut","NULL",3,"viral","picornavirus coat protein \(vp4\)","Viral","Viral","Capsid Protein"
311,"PF02226","Pico_P1A","DTR_482361","Picornavirus coat protein (VP4)","CIBIO",8605,141,1,0,0,11,"Host-Associated","Human","Gut","NULL",3,"viral","picornavirus coat protein \(vp4\)","Viral","Viral","Capsid Protein"
312,"PF05118","Asp_Arg_Hydrox","DTR_329201","Aspartyl/Asparaginyl beta-hydroxylase","IMG/M",11860,99,3,0,0,18,"Aquatic","Marine","Oceanic","NULL",3,"viral","aspartyl/asparaginyl beta hydroxylase","Unknown","Unknown","Other"
313,"PF09113","N-glycanase_C","DTR_581654","Peptide-N-glycosidase F, C terminal","MGnify",17206,54,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
314,"PF09113","N-glycanase_C","DTR_581654","Peptide-N-glycosidase F, C terminal","MGnify",17206,54,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
315,"PF21471","Reelin_subrepeat-B","DTR_167159","Reelin subrepeat B","IMG/M",16918,123,1,0,0,33,"Terrestrial","Soil",NA,"NULL",4,"viral","reelin subrepeat b","Unknown","Eukaryotic","Signaling Protein"
316,"PF18666","CBM64","DTR_512611","Carbohydrate-binding module 64","CIBIO",9622,96,2,0,0,7,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
317,"PF18666","CBM64","DTR_512611","Carbohydrate-binding module 64","CIBIO",9622,96,2,0,0,7,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
318,"PF18666","CBM64","DTR_512611","Carbohydrate-binding module 64","CIBIO",9622,96,2,0,0,7,"Host-Associated","Human","Gut","NULL",3,"viral","carbohydrate binding module 64","Unknown","Varies (Prok/Euk/Viral)","Binding Protein"
319,"PF18628","P2_N","DTR_051020","Viral coat protein P2 N-terminal domain","IMG/M",11404,120,1,0,0,23,"Aquatic","Marine","Coastal","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
320,"PF18628","P2_N","DTR_051020","Viral coat protein P2 N-terminal domain","IMG/M",11404,120,1,0,0,23,"Aquatic","Marine","Coastal","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
321,"PF09113","N-glycanase_C","DTR_617333","Peptide-N-glycosidase F, C terminal","MGnify",17173,21,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
322,"PF09113","N-glycanase_C","DTR_617333","Peptide-N-glycosidase F, C terminal","MGnify",17173,21,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
323,"PF17991","Thioredoxin_10","DTR_415565","Thioredoxin like C-terminal domain","CIBIO",16364,55,8,0,0,16,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
324,"PF17991","Thioredoxin_10","DTR_415565","Thioredoxin like C-terminal domain","CIBIO",16364,55,8,0,0,16,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
325,"PF09092","Lyase_N","DTR_415565","Lyase, N terminal","CIBIO",16364,55,8,0,0,16,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","lyase, n terminal","Unknown","Varies (Prok/Euk)","Enzyme"
326,"PF18573","BclA_C","DTR_287109","BclA C-terminal domain","IMG/M",14861,127,7,0,0,7,"Engineered","Wastewater","Anaerobic digestor","NULL",3,"viral","bcla c terminal domain","Unknown","Prokaryotic","Other"
327,"PF09113","N-glycanase_C","DTR_528305","Peptide-N-glycosidase F, C terminal","CIBIO",17271,119,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
328,"PF09113","N-glycanase_C","DTR_528305","Peptide-N-glycosidase F, C terminal","CIBIO",17271,119,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
329,"PF14099","Polysacc_lyase","DTR_330594","Polysaccharide lyase","IMG/M",15124,127,6,0,0,14,"Aquatic","Freshwater","Lake","GCA_003023945.1",4,"viral","polysaccharide lyase","Unknown","Varies (Prok/Euk)","Enzyme"
330,"PF14099","Polysacc_lyase","DTR_330594","Polysaccharide lyase","IMG/M",15124,127,6,0,0,14,"Aquatic","Freshwater","Lake","GCA_003023945.1",4,"viral","polysaccharide lyase","Unknown","Varies (Prok/Euk)","Enzyme"
331,"PF14099","Polysacc_lyase","DTR_330594","Polysaccharide lyase","IMG/M",15124,127,6,0,0,14,"Aquatic","Freshwater","Lake","GCA_003023945.1",4,"viral","polysaccharide lyase","Unknown","Varies (Prok/Euk)","Enzyme"
332,"PF18628","P2_N","DTR_265978","Viral coat protein P2 N-terminal domain","IMG/M",10256,127,3,0,0,19,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
333,"PF18628","P2_N","DTR_265978","Viral coat protein P2 N-terminal domain","IMG/M",10256,127,3,0,0,19,"Aquatic","Freshwater","Sediment","NULL",3,"viral","viral coat protein p2 n terminal domain","Viral","Viral","Capsid Protein"
334,"PF09113","N-glycanase_C","DTR_851568","Peptide-N-glycosidase F, C terminal","HGM",17216,61,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
335,"PF09113","N-glycanase_C","DTR_851568","Peptide-N-glycosidase F, C terminal","HGM",17216,61,4,0,0,13,"Host-Associated","Human","Gut","GCA_003502105.1",4,"viral","peptide n glycosidase f, c terminal","Unknown","Prokaryotic","Enzyme"
336,"PF12264","Waikav_capsid_1","DTR_197547","Waikavirus capsid protein 1","IMG/M",13966,123,2,0,0,19,"Aquatic","Freshwater","Ice","NULL",3,"viral","waikavirus capsid protein 1","Viral","Viral","Capsid Protein"
337,"PF05373","Pro_3_hydrox_C","DTR_672309","L-proline 3-hydroxylase, C-terminal","MGnify",10576,55,2,0,0,12,"Host-Associated","Human","Gut","NULL",3,"viral","l proline 3 hydroxylase, c terminal","Unknown","Varies (Prok/Euk)","Other"
338,"PF17991","Thioredoxin_10","DTR_833160","Thioredoxin like C-terminal domain","HGM",16408,99,7,0,0,16,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
339,"PF17991","Thioredoxin_10","DTR_833160","Thioredoxin like C-terminal domain","HGM",16408,99,7,0,0,16,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","thioredoxin like c terminal domain","Unknown","Varies (Prok/Euk/Viral)","Other"
340,"PF09092","Lyase_N","DTR_833160","Lyase, N terminal","HGM",16408,99,7,0,0,16,"Host-Associated","Human","Gut","GCA_003691915.1",4,"viral","lyase, n terminal","Unknown","Varies (Prok/Euk)","Enzyme"
