Accession	Name	Description	Source Database
cd20302	2,4'-Dihydroxyacetophenone dioxygenase (DAD), cupin domain	"2,4'-Dihydroxyacetophenone dioxygenase (DAD) catalyzes the oxidation of 2,4'-dihydroxyacetophenone to 4-hydroxybenzoate and formate as part of the 4-hydroxyacetophenone catabolic pathway. This enzyme is a homo-tetramer containing one iron per molecule of enzyme. This enzyme is an unusual dioxygenase in that it cleaves a C-C bond in a substituent of the aromatic ring rather than within the ring itself. As a bacterial dioxygenase, DAD plays an important environmental role in the aerobic catabolism of aromatic compounds; expression of this enzyme in appropriately engineered microorganisms has the potential to use these aromatic pollutants as a carbon source and thus remove them from the environment. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold. [[cite:PUB00107463], [cite:PUB00107464], [cite:PUB00016787], [cite:PUB00102372], [cite:PUB00107465]]"	CDD
IPR027443	Isopenicillin N synthase-like superfamily	"Isopenicillin N synthase (IPNS) catalyses conversion of the linear tripeptide delta-(L-alpha-aminoadipoyl)-L-cysteinyl-D-valine (ACV) to isopenicillin N (IPN), the central step in biosynthesis of the beta-lactam antibiotics [[cite:PUB00097358]]. IPNS is a nonhaem-Fe2+-dependent enzyme. It belongs to a class of nonhaem Fe2+-containing enzymes which includes 2-oxoglutarate-dependent dioxygenases, 2-oxoglutarate-dependent hydroxy- lases, and enzymes involved in ethylene formation and anthocyaninidin biosynthesis.

The IPNS structure shows that the active site is buried within the hydrophobic pocket of an eight-stranded jelly roll barrel [[cite:PUB00022330], [cite:PUB00064574]]."	INTERPRO
IPR037293	Galactose oxidase, central domain superfamily	"This entry represents a β-propeller domain found in galactose oxidase.



Galactose oxidase ([ec:1.1.3.9]) is a monomeric enzyme that contains a single copper ion and catalyses the stereospecific oxidation of primary alcohols to their corresponding aldehyde [[cite:PUB00014151]]. The protein contains an unusual covalent thioether bond between a tyrosine and a cysteine that forms during its maturation [[cite:PUB00014152]]. Galactose oxidase is a three-domain protein: the N-terminal domain forms a jelly-roll sandwich, the central domain forms a seven 4-bladed β-propeller, and the C-terminal domain has an immunoglobulin-like fold."	INTERPRO
cd02183	glycosylphosphatidylinositol-glucanosyltransferase	Group of fungal GH16 members related to Saccharomyces cerevisiae Crh1p. Chr1p and Crh2p are transglycosylases that are required for the linkage of chitin to beta(1-3)glucose branches of beta(1-6)glucan, an important step in the assembly of new cell wall. Both have been shown to be glycosylphosphatidylinositol (GPI)-anchored. A third homologous protein, Crr1p, functions in the formation of the spore wall. They belongs to the family 16 of glycosyl hydrolases that includes lichenase, xyloglucan endotransglycosylase (XET), beta-agarase, kappa-carrageenase, endo-beta-1,3-glucanase, endo-beta-1,3-1,4-glucanase, and endo-beta-galactosidase, all of which have a conserved jelly roll fold with a deep active site channel harboring the catalytic residues. [[cite:PUB00114130], [cite:PUB00114129], [cite:PUB00115556], [cite:PUB00114131], [cite:PUB00114127], [cite:PUB00115557], [cite:PUB00067886], [cite:PUB00115558], [cite:PUB00044634], [cite:PUB00085080], [cite:PUB00005266], [cite:PUB00000543], [cite:PUB00000528], [cite:PUB00000503]]	CDD
cd07000	homogentisate 1,2-dioxygenase and related proteins, N-terminal cupin domain	"This family includes homogentisate 1,2-dioxygenase (also known as homogentisate oxygenase, homogentisic acid oxidase, homogentisicase, HGO, HGD, HGDO, or HmgA; EC 1.13.11.5), which is involved in the metabolic degradation of phenylalanine and tyrosine. It catalyzes the crucial aromatic ring opening reaction, utilizing nonheme Fe2+ to incorporate both atoms of molecular oxygen into homogentisate (2,5-dihydroxyphenylacetate) to yield 4-maleylacetoacetate as part of the homogentisate pathway. HGO deficiency caused by critical mutations and polymorphic sites, causes the metabolic disease alkaptonuria (AKU), a rare disorder of autosomal recessive inheritance. Homogentisate accumulation causes insoluble ochronotic pigments to deposit in connective tissues, resulting in degenerative arthritis. These enzymes are found in prokaryotes, eukaryotes, and archaea. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00144330], [cite:PUB00144331], [cite:PUB00144332], [cite:PUB00144333], [cite:PUB00144334], [cite:PUB00009903]]"	CDD
IPR005194	Glycoside hydrolase family 65, C-terminal	O-Glycosyl hydrolases ([ec:3.2.1.]) are a widespread group of enzymes that hydrolyse the glycosidic bond between two or more carbohydrates, or between a carbohydrate and a non-carbohydrate moiety. A classification system for glycosyl hydrolases, based on sequence similarity, has led to the definition of 85 different families [[cite:PUB00004870], [cite:PUB00005266]]. This classification is available on the CAZy (CArbohydrate-Active EnZymes) website. Family 65 ([cazy:GH65]) contains this domain and includes vacuolar acid trehalase and maltose phosphorylases. Maltose phosphorylase (MP)  is a dimeric enzyme that catalyses the conversion of maltose and inorganic phosphate into beta-D-glucose-1-phosphate and glucose. The C-terminal domain forms a two layered jelly roll motif.  This domain is situated at the base of the catalytic domain, however its function remains unknown [[cite:PUB00008368]].	INTERPRO
cd02232	acireductone dioxygenase (ARD), cupin domain	"Acireductone dioxygenase (ARD; also known as 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase) catalyzes the oxidation of 1,2-dihydroxy-3-keto-5-methylthiopentene to yield two different products depending on which active site metal is present (Fe2+ or Ni2+) as part of the methionine salvage pathway. The ARD apo-enzyme, obtained after the metal is removed, is catalytically inactive. The Fe(II)-ARD reaction yields an alpha-keto acid and formic acid, while Ni(II)-ARD instead catalyzes a shunt out of the methionine salvage pathway, yielding methylthiocarboxylic acid, formic acid, and CO. ARD belongs to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization [[cite:PUB00144160], [cite:PUB00043086], [cite:PUB00007490], [cite:PUB00017690], [cite:PUB00038993], [cite:PUB00007489], [cite:PUB00100761], [cite:PUB00144161], [cite:PUB00041423], [cite:PUB00037977], [cite:PUB00144162], [cite:PUB00144163], [cite:PUB00014176], [cite:PUB00144164]]"	CDD
IPR046452	Homogentisate 1,2-dioxygenase, N-terminal domain	"Alkaptonuria (AKU), a rare hereditary disorder, was the first disease to be interpreted as an inborn error of metabolism. The deficiency causes homogentisic aciduria, ochronosis, and arthritis. AKU patients are deficient for homogentisate 1,2 dioxygenase (HGD) ([ec:1.13.11.5]), the enzyme that mediates the conversion of homogentisate to maleylacetoacetate, a step in the catabolism of both tyrosine and phenylalanine. The structure of this protein shows that the enzyme forms a hexamer arrangement comprised of a dimer of trimers. The active site iron ion is coordinated near the interface between the trimers [[cite:PUB00101169], [cite:PUB00009903]].

This group of proteins includes human HDG and homologues from eukaryotes, bacteria and some archaeal species. This entry represents the N-terminal domain of HGD, which forms a jelly roll of β-strands [[cite:PUB00009903]]."	INTERPRO
IPR047220	HTH-type transcriptional activator RhaR/RhaS, N-terminal domain	"This entry represents the N-terminal cupin domain found in the HTH-type transcription activators RhaS and RhaRan similar sequences predominantly found in Proteobacteria. RhaS and RhaR respond to the availability of L-rhamnose and activate transcription of the operons in the Escherichia coli L-rhamnose catabolic regulon. The E. coli RhaR protein activates expression of the rhaSR operon in the presence of its effector, L-rhamnose. The resulting RhaS protein (plus L-rhamnose) activates expression of the L-rhamnose catabolic operon rhaBAD as well as the transport operon rhaT. These proteins bind DNA as dimers, via their HTH motifs in the C-terminal domain ([interpro:IPR018060]). Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" β-barrel fold capable of homodimerisation [[cite:PUB00102256], [cite:PUB00102255] [cite:PUB00102257], [cite:PUB00054944], [cite:PUB00013420], [cite:PUB00016787]]."	INTERPRO
cd10320	N-terminal catalytic domain of rhamnogalacturonan lyase, a family 4 polysaccharide lyase	The rhamnogalacturonan lyase of the polysaccharide lyase family 4 (RGL4) is involved in the degradation of RG (rhamnogalacturonan) type-I, an important pectic plant cell wall polysaccharide, by cleaving the alpha-1,4 glycoside bond between L-rhamnose and D-galacturonic acids in the backbone of RG type-I through a beta-elimination reaction. RGL4 consists of three domains, an N-terminal catalytic domain, a middle domain with a FNIII type fold and a C-terminal domain with a jelly roll fold; the middle and C-terminal domains are both putative carbohydrate binding modules. There are two types of RG lyases, which both cleave the alpha-1,4 bonds of the RG-I main chain (RG chain) through the beta-elimination reaction, but belong to two structurally unrelated polysaccharide lyase (PL) families, 4 and 11. [[cite:PUB00027701], [cite:PUB00083823], [cite:PUB00083822], [cite:PUB00083820], [cite:PUB00083824], [cite:PUB00125694]]	CDD
cd20304	Oxalate decarboxylase (OxDC), N-terminal cupin domain	"This model represents the N-terminal cupin domain of oxalate decarboxylase (OxDC; EC 4.1.1.2), a manganese-dependent bicupin that catalyzes the conversion of oxalate to formate and carbon dioxide, utilizing dioxygen as a cofactor. It is evolutionarily related to oxalate oxidase (OxOx or germin; EC 1.2.3.4) which, in contrast, converts oxalate and dioxygen to carbon dioxide and hydrogen peroxide. OxDC is classified as a bicupin because it contains two cupin folds with each domain containing one manganese binding site, with four manganese binding residues (three histidines and one glutamate) conserved as well as a number of hydrophobic residues. Members of this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold. [[cite:PUB00026251], [cite:PUB00064915], [cite:PUB00046729], [cite:PUB00065608], [cite:PUB00144481], [cite:PUB00107855], [cite:PUB00016787], [cite:PUB00107854], [cite:PUB00031918], [cite:PUB00029317], [cite:PUB00102372]]"	CDD
cd20308	D-lyxose isomerase YdaE, cupin domain	"This family includes D-lyxose isomerase (D-LI; EC 5.3.1.15) homologous to YdaE from the sigma B regulon of Bacillus subtilis, a protein with an active site that is highly similar to the E. coli O157 z5688 D-lyxose isomerase. YdaE may have a synergistic role with ydaD, an NAD(P)-dependent alcohol dehydrogenase, in the adaptation to environment stresses; YdaD may be active against the ketose sugar produced by YdaE and function in providing resistance to oxidative stress through the production of reducing equivalents in the form of NAD(P)H. YdaE forms a cupin-type beta-barrel, with two alpha helices at the N-terminus. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold. [[cite:PUB00144158], [cite:PUB00144159], [cite:PUB00055252], [cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372], [cite:PUB00103823]]"	CDD
cd10317	C-terminal domain of rhamnogalacturonan lyase, a family 4 polysaccharide lyase	The rhamnogalacturonan lyase of the polysaccharide lyase family 4 (RGL4) is involved in the degradation of RG (rhamnogalacturonan) type-I, an important pectic plant cell wall polysaccharide, by cleaving the alpha-1,4 glycoside bond between L-rhamnose and D-galacturonic acids in the backbone of RG type-I through a beta-elimination reaction. RGL4 consists of three domains, an N-terminal catalytic domain, a middle domain with a FNIII type fold and a C-terminal domain with a jelly roll fold.  Both the middle and the C-terminal domain are putative carbohydrate binding modules. There are two types of RG lyases, which both cleave the alpha-1,4 bonds of the RG-I main chain (RG chain) through the beta-elimination reaction, but belong to two structurally unrelated polysaccharide lyase (PL) families, 4 and 11. [[cite:PUB00083824], [cite:PUB00027701], [cite:PUB00083820], [cite:PUB00083822], [cite:PUB00083823]]	CDD
IPR016112	Group II dsDNA virus coat/capsid protein	"Hexon is a major coat protein found in various species-specific Adenoviruses, which are type II dsDNA viruses. Hexon coat proteins are synthesised during late infection and form homo-trimers. The 240 copies of the hexon trimer that are produced are organised so that 12 lie on each of the 20 facets. The central 9 hexons in a facet are cemented together by 12 copies of polypeptide IX. The penton complex, formed by the peripentonal hexons and base hexon (holding in place a fibre), lie at each of the 12 vertices [[cite:PUB00003331]]. The hexon coat protein is a duplication consisting of two domains with a similar fold packed together like the nucleoplasmin subunits. Within a hexon trimer, the domains are arranged around a pseudo 6-fold axis. The domains have a β-sandwich structure consisting of 8 strands in two sheets with a jelly-roll topology; each domain is heavily decorated with many insertions [[cite:PUB00022393]]. The major capsid proteins (vp54 and vp72) found in Iridoviruses, Phycodnaviruses, Asfarviruses and Ascoviruses share the same structure. All these viruses are type II dsDNA viruses with no RNA stage. This is the most abundant structural protein and can account for up to 45% of virion protein [[cite:PUB00010097]]. The structure of vp54 has been determined from Paramecium bursaria Chlorella virus 1 (PBCV-1), a very large icosahedral virus containing an internal membrane enclosed within a glycoprotein coat. The vp54 protein is a duplication consisting of two domains with a similar fold packed together like the nucleoplasmin subunits. The vp54 protein forms a trimer, where the domains are arranged around a pseudo 6-fold axis. The domains have a β-sandwich structure consisting of 8 strands in two sheets with a jelly-roll topology [[cite:PUB00022136]].



Similarly, the major capsid protein p3 from Bacteriophage PRD1 also adopts a similar double-barrel structure comprising two eight-stranded viral β-barrels or jelly rolls, each of which contains a 12-residue α-helix. This protein then trimerises through a 'trimerisation loop' sequence, and is incorporated within the viral capsid [[cite:PUB00028629]]."	INTERPRO
IPR000512	Diphtheria toxin (NAD+-dipthamide ADP-ribosyltransferase)	"Diphtheria toxin ([ec:2.4.2.36]) is a 58kDa protein secreted by lysogenic strains of Corynebacterium diphtheriae. The toxin causes the disease diphtheria in humans by gaining entry into the cell cytoplasm and inhibiting protein synthesis [[cite:PUB00000429]]. The mechanism of inhibition involves transfer of the ADP-ribose group of NAD to elongation factor-2 (EF-2), rendering EF-2 inactive. The catalysed reaction is as follows:


&lt;reaction&gt;
NAD&lt;sup&gt;+&lt;/sup&gt; + peptide diphthamide = nicotinamide + peptide N-(ADP-D-ribosyl)diphthamide
&lt;/reaction&gt;


The crystal structure of the diphtheria toxin homodimer has been determined to 2.5A resolution [[cite:PUB00004122]]. The structure reveals a Y-shaped molecule of 3 domains, a catalytic domain (fragment A), whose fold is of the α+β type; a transmembrane (TM) domain, which consists of 9 α-helices, 2 pairs of which may participate in pH-triggered membrane insertion and translocation; and a receptor-binding domain, which forms a flattened β-barrel with a jelly-roll-like topology [[cite:PUB00004122]]. The TM- and receptor binding-domains together constitute fragment B."	INTERPRO
PS01034	Glycosyl hydrolases family 16 active sites	"The glycosyl hydrolases family 16 (GH16) [[cite:PUB00000503]] contains functionally
heterogeneous members, including beta-agarases, endo-1,3-beta-glucanases
(laminarinases), endo-beta-1,3-1,4-glucanases (lichenases), kappa-
carrageenases, endo-beta-galactosidases and xyloglucan endotransferases. These
enzymes share a common ancestor and have diverged significantly in their
primary sequence.

The GH16 catalytic domain has a classical sandwich-like beta-jelly roll fold,
formed by two main, closely packed and curved antiparallel beta sheets,
creating a deep channel harboring the catalytic machinery.
Even though the GH16 domains have now diverged significantly in their primary
sequences, they all feature a common catalytic motif, E-[ILV]-D-[IVAF]-
[VILMF](0,1)-E. The two glutamic acid residues in the conserved motif are the
nucleophile and the general base involved in catalysis, whereas the aspartic
acid residue is important in maintaining the relative position of these
catalytic amino acids [[cite:PUB00029321]][[cite:PUB00010686]].

Some proteins known to contain a GH16 domain are listed below:

 - Bacterial beta-1,3-1,4-glucanases, or lichenases, (EC 3.2.1.73) mainly from
   Bacillus but  also  from  Clostridium thermocellum (gene licB), Fibrobacter
   succinogenes and Rhodothermus marinus (gene bglA).
 - Bacillus circulans beta-1,3-glucanase A1 (EC 3.2.1.39) (gene glcA).
 - Alteromonas carrageenovora kappa-carrageenase (EC 3.2.1.83) (gene cgkA).
 - Rhizobium meliloti endo-1,3-1,4-beta-glycanase exoK.
 - Streptomyces coelicolor agarase (EC 3.2.1.81) (gene dagA).
 - Zobellia galactanivorans beta-agarase A (EC 3.2.1.81) (gene agaA).
 - Zobellia galactanivorans beta-agarase B (EC 3.2.1.81) (gene agaB).
 - Saccharophagus sp. AG21 beta-agarase (gene agy1), includes a GH16 domain
   and two CBM6 (carbohydrate binding type-6) domain.
 - Microbulbifer thermotolerans agarase (agaA).
 - Thermotoga maritima laminarinase.
 - Saccharomyces cerevisiae beta-glucan synthesis-associated protein SKN1 [[cite:PUB00016652]].
 - Saccharomyces cerevisiae beta-glucan synthesis-associated protein KRE6 [[cite:PUB00016652]].

Two closely clustered conserved glutamates have been shown [[cite:PUB00002845]] to be involved
in the catalytic activity of Bacillus licheniformis lichenase. We used the
region that contains these residues as a signature pattern. We have also
developed a profile that covers the entire GH16 domain."	PROSITE
IPR040502	Endo-alpha-N-acetylgalactosaminidase, domain 6	"Proteins containing a galactose-binding domain-like fold can be found in several different protein families, in both eukaryotes and prokaryotes. The common function of these domains is to bind to specific ligands, such as cell-surface-attached carbohydrate substrates for galactose oxidase and sialidase [[cite:PUB00004093]], phospholipids on the outer side of the mammalian cell membrane for coagulation factor Va [[cite:PUB00010664]], membrane-anchored ephrin for the Eph family of receptor tyrosine kinases [[cite:PUB00010665]], and a complex of broken single-stranded DNA and DNA polymerase beta for XRCC1 [[cite:PUB00005865]]. The structure of the galactose-binding domain-like members consists of a β-sandwich, in which the strands making up the sheets exhibit a jelly-roll fold [[cite:PUB00051660]].

This entry represents a galactose-binding domain, referred to as domain 6, found in endo-alpha-N-acetylgalactosaminidases from bacteria [[cite:PUB00101387], [cite:PUB00050468]]."	INTERPRO
cd02233	Granulicella tundricola hydroxynitrile lyase (GtHNL) and related proteins, cupin domain	"This family includes archaeal, eukaryotic, and bacterial proteins homologous to hydroxynitrile lyase from Granulicella tundricola (GtHNL), a novel class of HNLs that does not show any sequence or structural similarity to any other HNL and does not contain conserved motifs typical of HNLs. HNLs comprise a diverse group of enzymes that vary in terms of their substrate specificity, enantioselectivity and the need for a co-factor. In plants, they catalyze the reversible cleavage of cyanohydrins, yielding HCN and aldehydes or ketones. Also included in this family is TM1010 from Thermotoga maritima, a protein of unknown function. Some but not all members of this family have N- or C-terminal carboxymuconolactone decarboxylase domains in addition to the cupin domain. Members of this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00102373], [cite:PUB00102371], [cite:PUB00016787], [cite:PUB00102372]]"	CDD
cd10548	cysteine dioxygenase, cupin domain	"This family contains cysteine dioxygenase (CDO; EC 1.13.11.20), which catalyzes the conversion of cysteine to cysteine sulfinic acid, the first step in the biosynthesis of essential oxidized cysteine metabolites such as sulfate, hypotaurine, and taurine. CDO also plays an important role in the regulation of intracellular cysteine levels in mammals; CDO expression is altered in cancer cells, and abnormal or deficient CDO activity has been linked to Parkinson's disease, Alzheimer's disease, and rheumatoid arthritis. CDO is an iron-dependent thiol dioxygenase that uses molecular oxygen to oxidize the sulfhydryl group of cysteine to generate cysteine sulfinic acid. The CDO active site contains an amino acid-derived cofactor. These enzymes are found in prokaryotes as well as eukaryotes and belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00064753], [cite:PUB00149815], [cite:PUB00149816], [cite:PUB00149817], [cite:PUB00039399], [cite:PUB00149818], [cite:PUB00039524], [cite:PUB00041664], [cite:PUB00051731], [cite:PUB00149819], [cite:PUB00149820], [cite:PUB00078863], [cite:PUB00149821]]"	CDD
IPR033123	Glycosyl hydrolases family 11 (GH11) domain	"The microbial degradation of cellulose and xylans requires several types of enzymes such as endoglucanases ([ec:3.2.1.4]), cellobiohydrolases ([ec:3.2.1.91]) (exoglucanases), or xylanases ([ec:3.2.1.8]) [[cite:PUB00000117], [cite:PUB00003608]]. Fungi and bacteria produces a spectrum of cellulolytic enzymes (cellulases) and xylanases which, on the basis of sequence similarities, can be classified into families. One of these families is known as the cellulase family G [[cite:PUB00001778]] or as the glycosyl hydrolases family 11 (GH11) [[cite:PUB00000503]].

The GH11 domain folds into a jelly-roll shape likened to a partially closed right hand. Several anti-parallel β-strands bend almost 90deg to produce a substrate-binding groove characteristic of the GH11 domain active sites. Two catalytic Glu residues face each other from opposite sides of the groove. The hydrolysis reaction is believed to follow a double- displacement mechanism, with one Glu residue acting as a general acid/base catalyst and the other as a nucleophile."	INTERPRO
IPR047263	Hydroxynitrile lyase-like, cupin domain	"This entry includes archaeal, eukaryotic, and bacterial proteins homologous to hydroxynitrile lyase (also known as (R)-mandelonitrile lyase) from Granulicella tundricola ([swissprot:E8WYN5] GtHNL), a novel class of HNLs that does not show any sequence or structural similarity to any other HNL and does not contain conserved motifs typical of HNLs [[cite:PUB00102373]]. HNLs comprise a diverse group of enzymes that vary in terms of their substrate specificity, enantioselectivity and the need for a cofactor. In plants, they catalyse the reversible cleavage of cyanohydrins, yielding HCN and aldehydes or ketones. Also included in this family is TM1010 from Thermotoga maritima, a protein of unknown function. Some but not all members of this family have N- or C-terminal carboxymuconolactone decarboxylase domains in addition to the cupin domain. Members of this family belong to the cupin superfamily with a conserved ""jelly roll-like"" β-barrel fold capable of homodimerisation [[cite:PUB00102371], [cite:PUB00016787], [cite:PUB00102372]]."	INTERPRO
cd06977	HTH-type transcriptional activator RhaR and RhaS and related proteins, N-terminal cupin domain	"Members of this family contain an N-terminal cupin domain and a C-terminal AraC/XylS family helix-turn-helix (HTH) DNA-binding domain, including the HTH-type transcription activators RhaS and RhaR. RhaS and RhaR respond to the availability of L-rhamnose and activate transcription of the operons in the Escherichia coli L-rhamnose catabolic regulon. The E. coli RhaR protein activates expression of the rhaSR operon in the presence of its effector, L-rhamnose. The resulting RhaS protein (plus L-rhamnose) activates expression of the L-rhamnose catabolic operon rhaBAD as well as the transport operon rhaT. These proteins bind DNA as dimers, via their HTH motifs. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00107441], [cite:PUB00102256], [cite:PUB00107442], [cite:PUB00102255], [cite:PUB00013419], [cite:PUB00102257], [cite:PUB00054944], [cite:PUB00013420], [cite:PUB00016787], [cite:PUB00102372]]"	CDD
cd06978	L-ectoine synthase, cupin domain	"Ectoine synthase (EctC; also known as L-ectoine synthase or N-acetyldiaminobutyrate dehydratase; EC 4.2.1.108) is a cupin-like bacterial protein that converts N'-acetyldiaminobutyric acid to ectoine, in the last step of the L-ectoine biosynthetic pathway, via a cyclo-condensation reaction and using iron as the cofactor. Ectoines are potent microbial stress protectants, primarily synthesized by bacteria but also found in a few obligate halophilic protists and archaea, based on the ectoine biosynthetic ectABC gene. In halophilic eubacteria, the osmolytic ectoines enable the organisms to adapt to a wide range of salt concentrations by adjusting the cytoplasmic solute pool to the osmolarity of the surrounding environment. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold. [[cite:PUB00096313], [cite:PUB00144501], [cite:PUB00144502], [cite:PUB00144503], [cite:PUB00144504], [cite:PUB00060957], [cite:PUB00144505], [cite:PUB00144506], [cite:PUB00091761], [cite:PUB00007277]]"	CDD
cd10316	Middle domain of rhamnogalacturonan lyase, a family 4 polysaccharide lyase	The rhamnogalacturonan lyase of the polysaccharide lyase family 4 (RGL4) is involved in the degradation of RG (rhamnogalacturonan) type-I, an important pectic plant cell wall polysaccharide, by cleaving the alpha-1,4 glycoside bond between L-rhamnose and D-galacturonic acids in the backbone of RG type-I through a beta-elimination reaction. RGL4 consists of three domains, an N-terminal catalytic domain, a middle domain with a FNIII type fold and a C-terminal domain with a jelly roll fold. Both the middle domain represented by this model and the C-terminal domain are putative carbohydrate binding modules. There are two types of RG lyases, which both cleave the alpha-1,4 bonds of the RG-I main chain (RG chain) through the beta-elimination reaction, but belong to two structurally unrelated polysaccharide lyase (PL) families, 4 and 11. [[cite:PUB00027701], [cite:PUB00083824], [cite:PUB00083820], [cite:PUB00083822], [cite:PUB00083823]]	CDD
IPR017627	(S)-ureidoglycine aminohydrolase	"This entry represents the (S)-ureidoglycine aminohydrolase UGlyAH from bacteria and fungi, including UGlyAH from Escherichia coli and some plant homologues. (S)-ureidoglycine aminohydrolase (UGHY or UGlyAH) is involved in the ureide pathway, a metabolic route of purine catabolism in plants, some bacteria and probably in some fungi where, uric acid is degraded into glyoxylate and ammonia [[cite:PUB00078751]]. This enzyme is involved in the anaerobic nitrogen utilization via the assimilation of allantoin. It catalyses the second step in the allantoin degradation pathway, the deamination of the allantoin producing S-ureidoglycolate and ammonia from S-ureidoglycine [[cite:PUB00078751], [cite:PUB00096858]].

The structure of UGlyAH from Arabidopsis thaliana (AtUGlyAH) has been studied. It contains two structurally similar β-barrel domains, called N and C (cupin) domains. AtUGlyAH binds a Mn ion through its C-terminal domain which acts as a molecular anchor to bind (S)-ureidoglycine. Its structure showed a bi-cupin fold with a conserved jelly roll-like β-barrel fold and an octameric functional unit. Several structural homologues of UGlyAH, including the Escherichia coli ortholog YlbA (also known as GlxB6), also exhibit similar features [[cite:PUB00096859]]."	INTERPRO
IPR016107	Adenovirus Pll, hexon, N-terminal	Hexon is a major coat protein found in various species-specific Adenoviruses, which are type II dsDNA viruses. Hexon coat proteins are synthesised during late infection and form homo-trimers. The 240 copies of the hexon trimer that are produced are organised so that 12 lie on each of the 20 facets. The central 9 hexons in a facet are cemented together by 12 copies of polypeptide IX. The penton complex, formed by the peripentonal hexons and base hexon (holding in place a fibre), lie at each of the 12 vertices [[cite:PUB00003331]]. The hexon coat protein is a duplication consisting of two domains with a similar fold packed together like the nucleoplasmin subunits. Within a hexon trimer, the domains are arranged around a pseudo 6-fold axis. The domains have a β-sandwich structure consisting of 8 strands in two sheets with a jelly-roll topology; each domain is heavily decorated with many insertions [[cite:PUB00022393]]. This entry represents the N-terminal domain of hexon coat proteins.	INTERPRO
cd02228	Clostridium difficile EutQ and related proteins, cupin domain	"This family includes bacterial and fungal proteins homologous to ethanolamine utilization protein EutQ found in Clostridium difficile, as well as in other bacteria, including the enteric pathogens Salmonella enterica and Enterococcus faecalis. EutQ is encoded by the eutQ gene which is part of the eut (ethanolamine utilization) operon found to be essential during anoxic growth of S. enterica on ethanolamine and tetrathionate. In C. difficile, inability to utilize ethanolamine results in greater virulence and a shorter time to morbidity in the animal model, suggesting that, in contrast to other intestinal pathogens, the metabolism of ethanolamine can delay the onset of disease. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. In contrast to the metal-binding catalytic cupins, the EutQ family does not possess the histidine residues that are responsible for metal coordination in the oxidoreductase and epimerase classes of cupins. [[cite:PUB00063996], [cite:PUB00096913], [cite:PUB00149369], [cite:PUB00009955], [cite:PUB00035324]]"	CDD
IPR016108	Adenovirus Pll, hexon, C-terminal	Hexon is a major coat protein found in various species-specific Adenoviruses, which are type II dsDNA viruses. Hexon coat proteins are synthesised during late infection and form homo-trimers. The 240 copies of the hexon trimer that are produced are organised so that 12 lie on each of the 20 facets. The central 9 hexons in a facet are cemented together by 12 copies of polypeptide IX. The penton complex, formed by the peripentonal hexons and base hexon (holding in place a fibre), lie at each of the 12 vertices [[cite:PUB00003331]]. The hexon coat protein is a duplication consisting of two domains with a similar fold packed together like the nucleoplasmin subunits. Within a hexon trimer, the domains are arranged around a pseudo 6-fold axis. The domains have a β-sandwich structure consisting of 8 strands in two sheets with a jelly-roll topology; each domain is heavily decorated with many insertions [[cite:PUB00022393]]. This entry represents the C-terminal domain of hexon coat proteins.	INTERPRO
cd20301	anti-ECFsigma factor, ChrR , cupin domain	"This family contains bacterial anti-sigma factor ChrR from the photosynthetic bacterium Rhodobacter sphaeroides (Rsp) and similar proteins. ChrR is a member of the ZAS (Zn2+ anti-sigma) subfamily of group IV anti-sigmas. It inhibits transcriptional activity by binding to the Rsp extra cytoplasmic function (ECF) sigma factor E (sigmaE), an essential factor to mount a transcriptional response to a singlet oxygen and for viability when carotenoids are limiting. ChrR comprises two structural and functional modules; the N-terminal anti-sigma domain (ASD) binds a Zn(2+) ion, contacts sigma(E), and is sufficient to inhibit sigma(E)-dependent transcription. The ChrR C-terminal domain adopts a cupin fold, can coordinate an additional Zn(2+), and is required for the transcriptional response to singlet oxygen, a potent oxidant that damages cellular biomolecules and can kill cells. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold. [[cite:PUB00107464], [cite:PUB00096312], [cite:PUB00149481], [cite:PUB00149482], [cite:PUB00096310], [cite:PUB00096311], [cite:PUB00016787], [cite:PUB00048845], [cite:PUB00102372]]"	CDD
